 
__________________________________________
CONFIGURATION FILE
__________________________________________
ow_config.txt
 
19-Nov-2021 14:13:03 Working on 4900136
UPDATE_SALINITY_MAPPING: Working on profile 1
Elapsed time is 31.308194 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 2
Elapsed time is 6.012905 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 3
Elapsed time is 5.966039 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 4
Elapsed time is 6.013392 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 5
Elapsed time is 5.909041 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 6
Elapsed time is 5.828394 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 7
Elapsed time is 5.889942 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 8
Elapsed time is 5.843235 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 9
Elapsed time is 5.896294 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 10
Elapsed time is 5.954380 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 11
Elapsed time is 5.923560 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 12
Elapsed time is 5.921283 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 13
Elapsed time is 5.927306 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 14
Elapsed time is 5.924204 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 15
Elapsed time is 6.105370 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 16
Elapsed time is 6.665481 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 17
Elapsed time is 6.306099 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 18
Elapsed time is 6.018777 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 19
Elapsed time is 6.155577 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 20
Elapsed time is 6.046052 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 21
Elapsed time is 6.172958 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 22
Elapsed time is 6.616691 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 23
Elapsed time is 6.187093 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 24
Elapsed time is 6.269491 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 25
Elapsed time is 6.681820 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 26
Elapsed time is 6.290431 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 27
Elapsed time is 6.119334 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 28
Elapsed time is 6.095166 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 29
Elapsed time is 5.999478 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 30
Elapsed time is 6.042576 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 31
Elapsed time is 6.010809 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 32
Elapsed time is 6.010962 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 33
Elapsed time is 5.966659 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 34
Elapsed time is 6.198733 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 35
Elapsed time is 6.022021 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 36
Elapsed time is 5.955499 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 37
Elapsed time is 6.031840 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 38
Elapsed time is 6.639831 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 39
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 5.960690 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 40
Elapsed time is 6.025022 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 41
Elapsed time is 5.945897 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 42
Elapsed time is 5.980348 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 43
Elapsed time is 6.448618 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 44
Elapsed time is 6.296865 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 45
Elapsed time is 6.254861 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 46
Elapsed time is 6.362452 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 47
Elapsed time is 6.462688 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 48
Elapsed time is 6.302174 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 49
Elapsed time is 6.537258 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 50
Elapsed time is 6.534947 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 51
Elapsed time is 6.348760 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 52
Elapsed time is 6.453526 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 53
Elapsed time is 6.525953 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 54
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 6.680305 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 55
Elapsed time is 6.412498 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 56
Elapsed time is 6.388645 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 57
Elapsed time is 6.545626 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 58
Elapsed time is 6.439215 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 59
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 6.755750 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 60
Elapsed time is 6.361916 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 61
Elapsed time is 6.407508 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 62
Elapsed time is 6.418189 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 63
Elapsed time is 6.492674 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 64
Elapsed time is 6.371294 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 65
Elapsed time is 6.340818 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 66
Elapsed time is 6.420174 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 67
Elapsed time is 6.275628 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 68
Elapsed time is 6.429421 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 69
Elapsed time is 7.781339 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 70
Elapsed time is 5.511116 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 71
Elapsed time is 5.575355 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 72
Elapsed time is 5.590522 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 73
Elapsed time is 5.683531 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 74
Elapsed time is 5.673110 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 75
Elapsed time is 5.650041 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 76
Elapsed time is 5.667052 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 77
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 5.929577 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 78
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 5.812313 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 79
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 11.086164 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 80
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 7.138367 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 81
Elapsed time is 6.825109 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 82
Elapsed time is 7.672873 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 83
Elapsed time is 7.318434 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 84
Elapsed time is 9.689807 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 85
Elapsed time is 8.000403 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 86
